,ID,Chef Bill Kim’s,Main Street Poké
0,22,0.0,0.0
1,42,0.0,0.0
2,39,-2.5322085889570554,-0.5322085889570554
3,33,0.0,0.0
4,30,-1.5322085889570554,-0.5322085889570554
5,17,-2.5322085889570554,0.0
6,18,0.0,0.0
7,16,-1.5322085889570554,0.0
8,6,-1.5322085889570554,-0.5322085889570554
9,32,0.0,0.0
10,10,0.0,-0.5322085889570554
11,14,0.0,0.0
12,31,-0.5322085889570554,-2.5322085889570554
13,40,-1.5322085889570554,0.46779141104294464
14,9,0.0,0.0
15,43,0.0,-0.5322085889570554
16,20,0.0,1.4677914110429446
17,12,-0.5322085889570554,0.0
18,23,-0.5322085889570554,0.0
19,5,-0.5322085889570554,0.0
20,7,0.0,0.0
21,8,-1.5322085889570554,0.46779141104294464
22,19,0.0,0.0
23,24,0.0,0.0
24,44,0.0,0.0
25,37,-0.5322085889570554,0.0
26,28,-0.5322085889570554,0.0
27,3,0.0,0.46779141104294464
28,38,0.0,-0.5322085889570554
29,41,0.0,0.0
30,13,0.0,0.46779141104294464
31,1,-2.5322085889570554,1.4677914110429446
32,4,0.0,0.0
33,29,0.0,0.0
34,34,0.0,0.0
35,35,0.0,0.0
36,11,-1.5322085889570554,0.0
37,21,0.0,0.46779141104294464
38,25,0.0,0.0
39,15,-1.5322085889570554,0.0
40,36,0.0,0.46779141104294464
41,27,0.0,0.0
42,26,0.0,0.0
43,2,1.4677914110429446,1.4677914110429446
